DATE,CASES,DEATHS,CASES_CF,DEATHS_CF,Rate_of_cases,Cases_CF_AGE_0_17,Cases_CF_AGE_18_59,Cases_CF_AGE_60plus,Cases_AGE_0_17,Cases_AGE_18_59,Cases_AGE_60plus,Cases_Female_CF,Cases_Male_CF,Cases_Female,Cases_Male,Deaths_CF_AGE_0_17,Deaths_CF_AGE_18_59,Deaths_CF_AGE_60plus,Deaths_AGE_0_17,Deaths_CF_AGE_18_59,Deaths_CF_AGE_60plus,Deaths_female_CF,Deaths_male_CF,Deaths_female,Deaths_male
3/24/2020,132,1,730,5,0.1808219178,16,533,181,4,92,36,343,374,55,71,0,1,4,0,1,0,2,3,0,1
3/25/2020,219,0,949,5,0.2307692308,18,691,239,2,158,58,460,489,117,115,0,1,4,0,0,0,2,3,0,0
3/26/2020,200,4,1149,9,0.1740644038,18,826,304,0,135,65,541,591,81,102,0,2,7,0,1,3,3,6,1,3
3/27/2020,340,3,1489,12,0.2283411686,24,1056,409,6,230,105,697,785,156,194,1,2,9,1,0,2,3,9,0,3
3/28/2020,393,3,1882,15,0.2088204038,26,1329,519,2,273,110,873,996,176,211,1,3,12,0,1,3,4,11,1,2
3/29/2020,93,0,1975,15,0.04708860759,28,1394,553,2,65,34,942,1025,69,29,1,3,12,0,0,0,4,11,0,0
3/30/2020,192,1,2167,16,0.08860175358,28,1515,624,0,121,71,1031,1127,89,102,1,3,12,0,0,0,4,12,0,1
3/31/2020,444,10,2611,26,0.1700497894,34,1851,726,6,336,102,1219,1373,188,246,1,6,19,0,3,7,5,21,1,9
4/1/2020,512,14,3123,40,0.1639449248,37,2199,887,3,348,161,1452,1646,233,273,1,9,30,0,3,11,15,26,10,5
4/2/2020,304,3,3427,43,0.08870732419,45,2402,980,8,203,93,1618,1782,166,136,1,10,33,0,1,3,15,29,0,3
4/3/2020,409,17,3836,60,0.1066214807,46,2670,1116,1,268,136,1818,1983,200,201,1,16,44,0,6,11,20,40,5,11
4/4/2020,563,22,4399,82,0.1279836326,48,3084,1263,2,414,147,2120,2230,302,247,1,22,61,0,6,17,25,58,5,18
4/5/2020,281,16,4680,98,0.06004273504,48,3267,1362,0,183,99,2256,2377,136,147,1,27,70,0,5,9,36,62,11,4
4/6/2020,363,20,5043,118,0.07198096371,50,3500,1488,2,233,126,2426,2557,170,180,1,34,78,0,7,8,44,74,8,12
4/7/2020,468,22,5511,140,0.08492106696,55,3786,1664,5,286,176,2656,2800,230,243,1,40,99,0,6,21,56,84,12,10
4/8/2020,588,37,6099,177,0.09640924742,61,4178,1854,6,392,190,2989,3050,333,250,1,48,127,0,8,28,69,110,13,26
4/9/2020,520,19,6619,196,0.07856171627,66,4521,2025,5,343,171,3237,3310,248,260,1,51,143,0,3,16,78,119,9,9
4/10/2020,659,16,7278,212,0.09054685353,73,4956,2242,7,435,217,3544,3654,307,344,1,55,156,0,4,13,82,128,4,9
4/11/2020,497,46,7775,258,0.06392282958,78,5310,2379,5,354,137,3786,3903,242,249,1,63,195,0,8,39,102,152,20,24
4/12/2020,809,19,8584,277,0.09424510718,103,5897,2575,25,587,196,4163,4326,377,423,1,66,210,0,3,15,112,164,10,12
4/13/2020,529,31,9113,308,0.05804894107,109,6279,2716,6,382,141,4420,4557,257,231,1,73,234,0,7,24,128,180,16,16
4/14/2020,553,39,9666,347,0.05721084213,135,6631,2890,26,352,174,4688,4804,268,247,1,81,265,0,8,31,144,202,16,22
4/15/2020,598,39,10264,386,0.0582618862,135,7051,3069,0,420,179,4988,5091,300,287,1,87,298,0,6,33,157,228,13,26
4/16/2020,457,34,10721,420,0.04262662065,172,7344,3195,37,293,126,5200,5328,212,237,1,95,324,0,8,26,167,252,10,24
4/17/2020,662,41,11383,461,0.05815690064,172,7832,3369,0,488,174,5521,5669,321,341,1,106,355,0,11,31,182,278,15,26
4/18/2020,652,27,12035,488,0.05417532198,181,8280,3562,9,448,193,5813,6018,292,349,1,111,377,0,5,22,191,296,9,18
4/19/2020,536,12,12571,500,0.0426378172,201,8674,3683,20,394,121,6072,6298,259,280,1,114,386,0,3,9,196,303,5,7
4/20/2020,429,38,13000,538,0.033,208,8918,3861,7,244,178,6292,6500,220,202,1,122,416,0,8,30,208,330,12,27
4/21/2020,612,55,13612,593,0.04496032912,208,9338,4056,0,420,195,6547,6833,255,333,1,134,459,0,12,43,225,368,17,38
4/22/2020,794,34,14406,627,0.05511592392,245,9897,4250,37,559,194,6958,7203,411,370,1,136,491,0,2,32,243,382,18,14
4/23/2020,993,34,15399,661,0.0644847068,262,10672,4450,17,775,200,7422,7715,464,512,1,144,517,0,8,26,254,406,11,24
4/24/2020,801,36,16200,697,0.04944444444,275,11227,4682,13,555,232,7808,8100,386,385,1,151,546,0,7,29,264,428,10,22
4/25/2020,1103,36,17303,733,0.06374617118,311,11956,5035,36,729,353,8323,8565,515,465,1,159,574,0,8,28,275,458,11,30
4/26/2020,624,28,17927,761,0.03480783176,341,12370,5199,30,414,164,8623,8874,300,309,1,170,591,0,11,17,284,477,9,19
4/27/2020,752,12,18679,773,0.04025911451,355,12870,5436,14,500,237,9022,9246,399,372,1,172,601,0,2,10,288,485,4,8
4/28/2020,945,53,19624,826,0.04815532002,373,13521,5711,18,651,275,9478,9714,456,468,1,184,642,0,12,41,308,518,20,33
4/29/2020,875,47,20499,873,0.04268500902,410,14144,5924,37,623,213,9901,10086,423,372,1,187,686,0,3,44,329,544,21,26
4/30/2020,1007,59,21506,932,0.0468241421,452,14882,6151,42,738,227,10409,10559,508,473,1,196,736,0,9,50,356,576,27,32
5/1/2020,1238,30,22744,962,0.05443193809,523,15807,6391,71,925,240,10963,11236,554,677,1,205,757,0,9,21,363,599,7,23
5/2/2020,1143,25,23887,987,0.04785029514,573,16578,6712,50,771,321,11514,11800,551,564,1,207,780,0,2,23,376,690,13,91
5/3/2020,1093,27,24980,1014,0.043755004,625,17386,6944,52,808,232,12015,12365,501,565,1,215,799,0,8,19,386,628,10,-62
5/4/2020,829,40,25809,1054,0.03212057809,645,17963,7175,20,577,231,12414,12750,399,385,1,223,831,0,8,32,404,650,18,22
5/5/2020,802,42,26611,1096,0.03013791289,692,18574,7318,47,611,143,12773,13146,359,396,1,229,867,0,6,36,425,669,21,19
5/6/2020,957,56,27568,1152,0.03471416135,744,19270,7526,52,696,208,13288,13591,515,445,1,233,919,0,4,52,450,699,25,30
5/7/2020,999,54,28567,1206,0.03497042042,800,19940,7799,56,670,273,13769,14084,481,493,1,241,965,0,8,46,472,733,22,34
5/8/2020,1098,62,29665,1268,0.03701331535,860,20795,7980,60,855,181,14269,14625,500,541,1,249,1019,0,8,54,498,768,26,35
