DATE,Price,CASES,DEATHS,CASES_CF,DEATHS_CF
03/24/2020,135.18,132,1,730,5
03/25/2020,138.11,219,0,949,5
03/26/2020,141.15,200,4,1149,9
03/27/2020,151.70,340,3,1489,12
03/30/2020,150.88,678,4,2167,16
03/31/2020,146.12,444,10,2611,26
04/01/2020,137.00,512,14,3123,40
04/02/2020,121.93,304,3,3427,43
04/03/2020,128.20,409,17,3836,60
04/06/2020,122.94,1207,58,5043,118
04/07/2020,113.75,468,22,5511,140
04/08/2020,117.81,588,37,6099,177
04/09/2020,124.51,520,19,6619,196
04/13/2020,135.92,2494,112,9113,308
04/14/2020,141.89,553,39,9666,347
04/15/2020,151.56,598,39,10264,386
04/16/2020,150.26,457,34,10721,420
04/17/2020,150.06,662,41,11383,461
04/20/2020,148.99,1617,77,13000,538
04/21/2020,143.27,612,55,13612,593
04/22/2020,150.25,794,34,14406,627
04/23/2020,169.09,993,34,15399,661
04/24/2020,158.80,801,36,16200,697
04/27/2020,164.60,2479,76,18679,773
04/28/2020,156.72,945,53,19624,826
04/29/2020,146.48,875,47,20499,873
04/30/2020,135.17,1007,59,21506,932
05/01/2020,138.56,1238,30,22744,962
05/04/2020,143.44,3065,92,25809,1054
05/05/2020,144.82,802,42,26611,1096
05/06/2020,149.59,957,56,27568,1152
05/07/2020,157.80,999,54,28567,1206
05/08/2020,155.40,1098,62,29665,1268
